site;sample;rep
NASTA_2021;8;2
NASTA_2021;8;3
NASTA_2021;8;4
NASTA_2021;8;5
NASTA_2021;8;6
NASTA_2021;9;1
NASTA_2021;9;2
NASTA_2021;9;3
NASTA_2021;9;4
NASTA_2021;9;5
NASTA_2021;9;6
NASTA_2021;10;1
NASTA_2021;10;2
NASTA_2021;10;3
NASTA_2021;10;4
NASTA_2021;10;5
NASTA_2021;10;6
NASTA_2021;11;1
NASTA_2021;11;2
NASTA_2021;11;3
NASTA_2021;11;4
NASTA_2021;11;5
NASTA_2021;11;6
NASTA_2021;12;1
NASTA_2021;12;2
NASTA_2021;12;3
NASTA_2021;12;4
NASTA_2021;12;5
NASTA_2021;12;6
NASTA_2021;13;1
NASTA_2021;13;2
NASTA_2021;13;3
NASTA_2021;13;4
NASTA_2021;13;5
NASTA_2021;13;6
NASTA_2021;14;1
NASTA_2021;14;2
NASTA_2021;14;3
NASTA_2021;14;4
NASTA_2021;14;5
NASTA_2021;14;6
NASTA_2021;15;1
NASTA_2021;15;2
NASTA_2021;15;3
NASTA_2021;15;4
NASTA_2021;15;5
NASTA_2021;15;6
NASTA_2022;1;1
NASTA_2022;1;2
NASTA_2022;1;3
NASTA_2022;2;1
NASTA_2022;2;2
NASTA_2022;2;3
NASTA_2022;3;1
NASTA_2022;3;2
NASTA_2022;3;3
NASTA_2022;4;1
NASTA_2022;4;2
NASTA_2022;4;3
NASTA_2022;4;4
NASTA_2022;4;5
NASTA_2022;4;6
NASTA_2022;4;7
NASTA_2022;4;8
NASTA_2022;4;9
NASTA_2022;5;1
NASTA_2022;5;2
NASTA_2022;5;3
NASTA_2022;6;1
NASTA_2022;6;2
NASTA_2022;6;3
PLLM_2020;1;1
PLLM_2020;1;2
PLLM_2020;1;3
PLLM_2020;2;1
PLLM_2020;2;2
PLLM_2020;2;3
PLLM_2020;3;1
PLLM_2020;3;2
PLLM_2020;3;3
PLLM_2020;4;1
PLLM_2020;4;2
PLLM_2020;4;3
PLLM_2020;5;1
PLLM_2020;5;2
PLLM_2020;5;3
PLLM_2020;6;1
PLLM_2020;6;2
PLLM_2020;6;3
TASIU_2020;1;1
TASIU_2020;1;2
TASIU_2020;1;3
TASIU_2020;2;1
TASIU_2020;2;2
TASIU_2020;2;3
TASIU_2020;3;1
TASIU_2020;3;2
TASIU_2020;3;3
WIYA_2020;1;1
WIYA_2020;1;2
WIYA_2020;1;3
WIYA_2020;2;1
WIYA_2020;2;2
WIYA_2020;2;3
WIYA_2020;3;1
WIYA_2020;3;2
WIYA_2020;3;3
WIYA_2020;4;1
WIYA_2020;4;2
WIYA_2020;4;3
WIYA_2020;5;1
WIYA_2020;5;2
WIYA_2020;5;3
WIYA_2020;6;1
WIYA_2020;6;2
WIYA_2020;6;3
WIYA_2021;1;1
WIYA_2021;1;2
WIYA_2021;1;3
WIYA_2021;2;1
WIYA_2021;2;2
WIYA_2021;2;3
WIYA_2021;3;1
WIYA_2021;3;2
WIYA_2021;3;3
WIYA_2021;4;1
WIYA_2021;4;2
WIYA_2021;4;3
WIYA_2021;5;1
WIYA_2021;5;2
WIYA_2021;5;3
WIYA_2021;6;1
WIYA_2021;6;2
WIYA_2021;6;3
WIYA_2021;7;1
WIYA_2021;7;2
WIYA_2021;7;3
WIYA_2021;8;1
WIYA_2021;8;2
WIYA_2021;8;3
WIYA_2021;9;1
WIYA_2021;9;2
WIYA_2021;9;3
BIENVILLE_2023;1;1
BIENVILLE_2023;1;2
BIENVILLE_2023;1;3
BIENVILLE_2023;1;4
BIENVILLE_2023;1;5
BIENVILLE_2023;1;6
BIENVILLE_2023;2;1
BIENVILLE_2023;2;2
BIENVILLE_2023;2;3
BIENVILLE_2023;2;4
BIENVILLE_2023;2;5
BIENVILLE_2023;2;6
BIENVILLE_2023;3;1
BIENVILLE_2023;3;2
BIENVILLE_2023;3;3
BIENVILLE_2023;3;4
BIENVILLE_2023;3;5
BIENVILLE_2023;3;6
BIENVILLE_2023;4;1
BIENVILLE_2023;4;2
BIENVILLE_2023;4;3
BIENVILLE_2023;4;4
BIENVILLE_2023;4;5
BIENVILLE_2023;4;6
BIENVILLE_2023;5;1
BIENVILLE_2023;5;2
BIENVILLE_2023;5;3
BIENVILLE_2023;5;4
BIENVILLE_2023;5;5
BIENVILLE_2023;5;6
BIENVILLE_2023;6;1
BIENVILLE_2023;6;2
BIENVILLE_2023;6;3
BIENVILLE_2023;6;4
BIENVILLE_2023;6;5
BIENVILLE_2023;6;6
BIENVILLE_2023;7;1
BIENVILLE_2023;7;2
BIENVILLE_2023;7;3
BIENVILLE_2023;7;4
BIENVILLE_2023;7;5
BIENVILLE_2023;7;6
BIENVILLE_2023;8;1
BIENVILLE_2023;8;2
BIENVILLE_2023;8;3
BIENVILLE_2023;8;4
BIENVILLE_2023;8;5
BIENVILLE_2023;8;6
BIENVILLE_2023;9;1
BIENVILLE_2023;9;2
BIENVILLE_2023;9;3
BIENVILLE_2023;9;4
BIENVILLE_2023;9;5
BIENVILLE_2023;9;6
BIENVILLE_2023;10;1
BIENVILLE_2023;10;2
BIENVILLE_2023;10;3
BIENVILLE_2023;10;4
BIENVILLE_2023;10;5
BIENVILLE_2023;10;6
BIENVILLE_2023;11;1
BIENVILLE_2023;11;2
BIENVILLE_2023;11;3
BIENVILLE_2023;11;4
BIENVILLE_2023;11;5
BIENVILLE_2023;11;6
BIENVILLE_2023;12;1
BIENVILLE_2023;12;2
BIENVILLE_2023;12;3
BIENVILLE_2023;12;4
BIENVILLE_2023;12;5
BIENVILLE_2023;12;6
BIENVILLE_2023;13;1
BIENVILLE_2023;13;2
BIENVILLE_2023;13;3
BIENVILLE_2023;13;4
BIENVILLE_2023;13;5
BIENVILLE_2023;13;6
BIENVILLE_2023;14;1
BIENVILLE_2023;14;2
BIENVILLE_2023;14;3
BIENVILLE_2023;14;4
BIENVILLE_2023;14;5
BIENVILLE_2023;14;6
BIENVILLE_2023;15;1
BIENVILLE_2023;15;2
BIENVILLE_2023;15;3
BIENVILLE_2023;15;4
BIENVILLE_2023;15;5
BIENVILLE_2023;15;6
BIENVILLE_2023;16;1
BIENVILLE_2023;16;2
BIENVILLE_2023;16;3
BIENVILLE_2023;16;4
BIENVILLE_2023;16;5
BIENVILLE_2023;16;6
BIENVILLE_2023;17;1
BIENVILLE_2023;17;2
BIENVILLE_2023;17;3
BIENVILLE_2023;17;4
BIENVILLE_2023;17;5
BIENVILLE_2023;17;6
BIENVILLE_2023;18;1
BIENVILLE_2023;18;2
BIENVILLE_2023;18;3
BIENVILLE_2023;18;4
BIENVILLE_2023;18;5
BIENVILLE_2023;18;6
BIENVILLE_2023;19;1
BIENVILLE_2023;19;2
BIENVILLE_2023;19;3
BIENVILLE_2023;19;4
BIENVILLE_2023;19;5
BIENVILLE_2023;19;6
BIENVILLE_2023;20;1
BIENVILLE_2023;20;2
BIENVILLE_2023;20;3
BIENVILLE_2023;20;4
BIENVILLE_2023;20;5
BIENVILLE_2023;20;6
BIENVILLE_2023;21;1
BIENVILLE_2023;21;2
BIENVILLE_2023;21;3
BIENVILLE_2023;21;4
BIENVILLE_2023;21;5
BIENVILLE_2023;21;6
BIENVILLE_2023;22;1
BIENVILLE_2023;22;2
BIENVILLE_2023;22;3
BIENVILLE_2023;22;4
BIENVILLE_2023;22;5
BIENVILLE_2023;22;6
BIENVILLE_2023;23;1
BIENVILLE_2023;23;2
BIENVILLE_2023;23;3
BIENVILLE_2023;23;4
BIENVILLE_2023;23;5
BIENVILLE_2023;23;6
BIENVILLE_2023;24;1
BIENVILLE_2023;24;2
BIENVILLE_2023;24;3
BIENVILLE_2023;24;4
BIENVILLE_2023;24;5
BIENVILLE_2023;24;6
BIENVILLE_2023;25;1
BIENVILLE_2023;25;2
BIENVILLE_2023;25;3
BIENVILLE_2023;25;4
BIENVILLE_2023;25;5
BIENVILLE_2023;25;6
BIENVILLE_2023;26;1
BIENVILLE_2023;26;2
BIENVILLE_2023;26;3
BIENVILLE_2023;26;4
BIENVILLE_2023;26;5
BIENVILLE_2023;26;6
BIENVILLE_2023;27;1
BIENVILLE_2023;27;2
BIENVILLE_2023;27;3
BIENVILLE_2023;27;4
BIENVILLE_2023;27;5
BIENVILLE_2023;27;6
BIENVILLE_2023;28;1
BIENVILLE_2023;28;2
BIENVILLE_2023;28;3
BIENVILLE_2023;28;4
BIENVILLE_2023;28;5
BIENVILLE_2023;28;6
BIENVILLE_2023;29;1
BIENVILLE_2023;29;2
BIENVILLE_2023;29;3
BIENVILLE_2023;29;4
BIENVILLE_2023;29;5
BIENVILLE_2023;29;6
BIENVILLE_2023;30;1
BIENVILLE_2023;30;2
BIENVILLE_2023;30;3
BIENVILLE_2023;30;4
BIENVILLE_2023;30;5
BIENVILLE_2023;30;6
BIENVILLE_2023;31;1
BIENVILLE_2023;31;2
BIENVILLE_2023;31;3
BIENVILLE_2023;31;4
BIENVILLE_2023;31;5
BIENVILLE_2023;31;6
BIENVILLE_2023;32;1
BIENVILLE_2023;32;2
BIENVILLE_2023;32;3
BIENVILLE_2023;32;4
BIENVILLE_2023;32;5
BIENVILLE_2023;32;6
BIENVILLE_2023;33;1
BIENVILLE_2023;33;2
BIENVILLE_2023;33;3
BIENVILLE_2023;33;4
BIENVILLE_2023;33;5
BIENVILLE_2023;33;6
LLM_2023;1;1
LLM_2023;1;2
LLM_2023;1;3
LLM_2023;1;4
LLM_2023;1;5
LLM_2023;1;6
LLM_2023;2;1
LLM_2023;2;2
LLM_2023;2;3
LLM_2023;2;4
LLM_2023;2;5
LLM_2023;2;6
LLM_2023;3;1
LLM_2023;3;2
LLM_2023;3;3
LLM_2023;3;4
LLM_2023;3;5
LLM_2023;3;6
LLM_2023;4;1
LLM_2023;4;2
LLM_2023;4;3
LLM_2023;4;4
LLM_2023;4;5
LLM_2023;4;6
LLM_2023;5;1
LLM_2023;5;2
LLM_2023;5;3
LLM_2023;5;4
LLM_2023;5;5
LLM_2023;5;6
LLM_2023;6;1
LLM_2023;6;2
LLM_2023;6;3
LLM_2023;6;4
LLM_2023;6;5
LLM_2023;6;6
LLM_2023;7;1
LLM_2023;7;2
LLM_2023;7;3
LLM_2023;7;4
LLM_2023;7;5
LLM_2023;7;6
LLM_2023;8;1
LLM_2023;8;2
LLM_2023;8;3
LLM_2023;8;4
LLM_2023;8;5
LLM_2023;8;6
LLM_2023;9;1
LLM_2023;9;2
LLM_2023;9;3
LLM_2023;9;4
LLM_2023;9;5
LLM_2023;9;6
LLM_2023;10;1
LLM_2023;10;2
LLM_2023;10;3
LLM_2023;10;4
LLM_2023;10;5
LLM_2023;10;6
LLM_2023;11;1
LLM_2023;11;2
LLM_2023;11;3
LLM_2023;11;4
LLM_2023;11;5
LLM_2023;11;6
LLM_2023;12;1
LLM_2023;12;2
LLM_2023;12;3
LLM_2023;12;4
LLM_2023;12;5
LLM_2023;12;6
NASTA_2023;1;1
NASTA_2023;1;2
NASTA_2023;1;3
NASTA_2023;1;4
NASTA_2023;1;5
NASTA_2023;1;6
NASTA_2023;2;1
NASTA_2023;2;2
NASTA_2023;2;3
NASTA_2023;2;4
NASTA_2023;2;5
NASTA_2023;2;6
NASTA_2023;3;1
NASTA_2023;3;2
NASTA_2023;3;3
NASTA_2023;3;4
NASTA_2023;3;5
NASTA_2023;3;6
NASTA_2023;4;1
NASTA_2023;4;2
NASTA_2023;4;3
NASTA_2023;4;4
NASTA_2023;4;5
NASTA_2023;4;6
NASTA_2023;5;1
NASTA_2023;5;2
NASTA_2023;5;3
NASTA_2023;5;4
NASTA_2023;5;5
NASTA_2023;5;6
NASTA_2023;6;1
NASTA_2023;6;2
NASTA_2023;6;3
NASTA_2023;6;4
NASTA_2023;6;5
NASTA_2023;6;6
NASTA_2023;7;1
NASTA_2023;7;2
NASTA_2023;7;3
NASTA_2023;7;4
NASTA_2023;7;5
NASTA_2023;7;6
NASTA_2023;8;1
NASTA_2023;8;2
NASTA_2023;8;3
NASTA_2023;8;4
NASTA_2023;8;5
NASTA_2023;8;6
NASTA_2023;9;1
NASTA_2023;9;2
NASTA_2023;9;3
NASTA_2023;9;4
NASTA_2023;9;5
NASTA_2023;9;6
PLLM_2023;1;1
PLLM_2023;1;2
PLLM_2023;1;3
PLLM_2023;1;4
PLLM_2023;1;5
PLLM_2023;1;6
PLLM_2023;2;1
PLLM_2023;2;2
PLLM_2023;2;3
PLLM_2023;2;4
PLLM_2023;2;5
PLLM_2023;2;6
PLLM_2023;3;1
PLLM_2023;3;2
PLLM_2023;3;3
PLLM_2023;3;4
PLLM_2023;3;5
PLLM_2023;3;6
PLLM_2023;4;1
PLLM_2023;4;2
PLLM_2023;4;3
PLLM_2023;4;4
PLLM_2023;4;5
PLLM_2023;4;6
PLLM_2023;5;1
PLLM_2023;5;2
PLLM_2023;5;3
PLLM_2023;5;4
PLLM_2023;5;5
PLLM_2023;5;6
PLLM_2023;6;1
PLLM_2023;6;2
PLLM_2023;6;3
PLLM_2023;6;4
PLLM_2023;6;5
PLLM_2023;6;6
PLLM_2023;7;1
PLLM_2023;7;2
PLLM_2023;7;3
PLLM_2023;7;4
PLLM_2023;7;5
PLLM_2023;7;6
PLLM_2023;8;1
PLLM_2023;8;2
PLLM_2023;8;3
PLLM_2023;8;4
PLLM_2023;8;5
PLLM_2023;8;6
PLLM_2023;9;1
PLLM_2023;9;2
PLLM_2023;9;3
PLLM_2023;9;4
PLLM_2023;9;5
PLLM_2023;9;6
PLLM_2023;10;1
PLLM_2023;10;2
PLLM_2023;10;3
PLLM_2023;10;4
PLLM_2023;10;5
PLLM_2023;10;6
PLLM_2023;11;1
PLLM_2023;11;2
PLLM_2023;11;3
PLLM_2023;11;4
PLLM_2023;11;5
PLLM_2023;11;6
PLLM_2023;12;1
PLLM_2023;12;2
PLLM_2023;12;3
PLLM_2023;12;4
PLLM_2023;12;5
PLLM_2023;12;6
PLLM_2023;13;1
PLLM_2023;13;2
PLLM_2023;13;3
PLLM_2023;13;4
PLLM_2023;13;5
PLLM_2023;13;6
PLLM_2023;14;1
PLLM_2023;14;2
PLLM_2023;14;3
PLLM_2023;14;4
PLLM_2023;14;5
PLLM_2023;14;6
PLLM_2023;15;1
PLLM_2023;15;2
PLLM_2023;15;3
PLLM_2023;15;4
PLLM_2023;15;5
PLLM_2023;15;6
PLLM_2023;16;1
PLLM_2023;16;2
PLLM_2023;16;3
PLLM_2023;16;4
PLLM_2023;16;5
PLLM_2023;16;6
PLLM_2023;17;1
PLLM_2023;17;2
PLLM_2023;17;3
PLLM_2023;17;4
PLLM_2023;17;5
PLLM_2023;17;6
PLLM_2023;18;1
PLLM_2023;18;2
PLLM_2023;18;3
PLLM_2023;18;4
PLLM_2023;18;5
PLLM_2023;18;6
BOURDEL_2023;1;1
BOURDEL_2023;1;2
BOURDEL_2023;1;3
BOURDEL_2023;1;4
BOURDEL_2023;1;5
BOURDEL_2023;1;6
BOURDEL_2023;2;1
BOURDEL_2023;2;2
BOURDEL_2023;2;3
BOURDEL_2023;2;4
BOURDEL_2023;2;5
BOURDEL_2023;2;6
BOURDEL_2023;3;1
BOURDEL_2023;3;2
BOURDEL_2023;3;3
BOURDEL_2023;3;4
BOURDEL_2023;3;5
BOURDEL_2023;3;6
