site;sample;month;species;volume
BIENVILLE_2019;1;5;0;250
BIENVILLE_2019;2;5;0;250
BIENVILLE_2019;3;5;0;250
BIENVILLE_2019;4;5;0;250
BIENVILLE_2019;5;5;0;250
BIENVILLE_2019;6;5;0;250
BIENVILLE_2019;7;5;0;250
BIENVILLE_2019;8;5;0;250
BIENVILLE_2019;9;5;0;250
BIENVILLE_2019;10;5;0;250
BIENVILLE_2019;11;5;0;250
BIENVILLE_2019;12;5;0;250
BIENVILLE_2019;13;5;0;250
BIENVILLE_2019;14;5;0;250
BIENVILLE_2019;15;5;0;250
BIENVILLE_2020;1;8;0;130
BIENVILLE_2020;2;8;0;130
BIENVILLE_2020;3;8;0;130
BIENVILLE_2020;4;8;0;130
BIENVILLE_2020;5;8;0;130
BIENVILLE_2020;6;8;0;130
BIENVILLE_2020;7;8;0;130
BIENVILLE_2020;8;8;0;130
BIENVILLE_2020;9;8;0;130
BIENVILLE_2020;10;8;0;130
BIENVILLE_2020;11;8;0;130
BIENVILLE_2020;12;8;0;130
BIENVILLE_2020;13;8;0;130
BIENVILLE_2020;14;8;0;130
BIENVILLE_2020;15;8;0;130
BIENVILLE_2020;16;8;0;130
BIENVILLE_2020;17;8;0;130
BIENVILLE_2020;18;8;0;130
BIENVILLE_2020;19;8;0;130
BIENVILLE_2020;20;8;0;130
BIENVILLE_2020;21;8;0;130
BIENVILLE_2020;22;8;0;130
BIENVILLE_2020;23;8;0;130
BIENVILLE_2020;24;8;0;130
BIENVILLE_2020;25;8;0;130
BIENVILLE_2020;26;8;0;130
BIENVILLE_2020;27;8;0;130
BIENVILLE_2020;28;8;0;130
BIENVILLE_2020;29;8;0;130
BIENVILLE_2020;30;8;0;130
BIENVILLE_2021;1;3;0;2000
BIENVILLE_2021;2;3;0;2000
BIENVILLE_2021;3;3;0;2000
BIENVILLE_2021;4;3;0;2000
BIENVILLE_2021;5;3;0;2000
BIENVILLE_2021;6;3;0;2000
BIENVILLE_2021;7;3;0;2000
BIENVILLE_2021;8;3;0;2000
BIENVILLE_2021;9;5;0;2000
BIENVILLE_2021;10;5;0;2000
BIENVILLE_2021;11;5;0;2000
BIENVILLE_2021;12;5;0;2000
BIENVILLE_2021;13;5;0;2000
BIENVILLE_2021;14;5;0;2000
BIENVILLE_2021;15;5;0;2000
BIENVILLE_2021;16;5;0;2000
BIENVILLE_2021;17;5;0;2000
BIENVILLE_2021;18;5;0;2000
BIENVILLE_2021;19;5;0;2000
BIENVILLE_2021;20;5;0;2000
BIENVILLE_2021;21;5;0;2000
BIENVILLE_2021;22;5;0;2000
BIENVILLE_2021;23;5;0;2000
BIENVILLE_2021;24;5;0;2000
BIENVILLE_2021;25;5;0;2000
BIENVILLE_2021;26;5;0;2000
BIENVILLE_2021;27;5;0;2000
BIENVILLE_2021;28;5;0;2000
BIENVILLE_2021;29;5;0;2000
BIENVILLE_2021;30;5;0;2000
BIENVILLE_2021;31;5;0;2000
BIENVILLE_2021;32;5;0;2000
BIENVILLE_2021;33;5;0;2000
BIENVILLE_2021;34;5;0;2000
BIENVILLE_2021;35;5;0;2000
BOURDEL_2020;1;8;0;130
BOURDEL_2020;2;8;0;130
BOURDEL_2020;3;8;0;130
BOURDEL_2020;4;8;0;130
BOURDEL_2020;5;8;0;130
BOURDEL_2020;6;8;0;130
BOURDEL_2022;1;8;1;2000
BOURDEL_2022;2;8;1;2000
BOURDEL_2022;3;8;1;2000
BOURDEL_2022;4;8;0;2000
BOURDEL_2022;5;8;0;2000
BOURDEL_2022;6;8;0;2000
LLM_2019;1;5;0;250
LLM_2019;2;5;0;250
LLM_2019;3;5;0;250
LLM_2019;4;5;1;250
LLM_2019;5;5;1;250
LLM_2019;6;5;1;250
LLM_2019;7;5;1;250
LLM_2019;8;5;1;250
LLM_2019;9;5;1;250
LLM_2019;10;5;1;250
LLM_2019;11;5;1;250
LLM_2019;12;5;1;250
LLM_2020;1;8;0;130
LLM_2020;2;8;0;130
LLM_2020;3;8;0;130
LLM_2020;4;8;0;130
LLM_2020;5;8;0;130
LLM_2020;6;8;0;130
LLM_2020;7;8;0;130
LLM_2020;8;8;0;130
LLM_2020;9;8;0;130
LLM_2020;10;8;0;130
LLM_2020;11;8;0;130
LLM_2020;12;8;0;130
LLM_2021;1;8;0;2000
LLM_2021;2;8;0;2000
LLM_2021;3;8;0;2000
LLM_2021;4;8;0;2000
LLM_2021;5;8;0;2000
LLM_2021;6;8;0;2000
LLM_2021;7;8;0;2000
LLM_2021;8;8;0;2000
LLM_2021;9;8;0;2000
LLM_2021;10;8;0;2000
LLM_2021;11;8;0;2000
LLM_2021;12;8;0;2000
LLM_2021;13;3;0;2000
LLM_2021;14;3;0;2000
LLM_2021;15;3;1;2000
LLM_2021;16;3;0;2000
LLM_2022;1;8;0;2000
LLM_2022;2;8;0;2000
LLM_2022;3;8;0;2000
LLM_2022;4;8;0;2000
LLM_2022;5;8;0;2000
LLM_2022;6;8;0;2000
LLM_2022;7;8;0;2000
LLM_2022;8;8;0;2000
LLM_2022;9;8;0;2000
LLM_2022;10;8;0;2000
LLM_2022;11;8;0;2000
LLM_2022;12;8;0;2000
LLM_2022;13;8;0;2000
LLM_2022;14;8;0;2000
LLM_2022;15;8;0;2000
LLM_2022;16;8;0;2000
MINTO_2022;1;8;0;2000
MINTO_2022;2;8;0;2000
MINTO_2022;3;8;0;2000
MINTO_2022;4;8;0;2000
MINTO_2022;5;8;0;2000
MINTO_2022;6;8;0;2000
NASTA_2020;1;8;0;2000
NASTA_2020;2;8;0;2000
NASTA_2020;3;8;0;2000
NASTA_2020;4;8;0;2000
NASTA_2020;5;8;0;2000
NASTA_2020;6;8;0;2000
NASTA_2021;1;8;0;2000
NASTA_2021;2;8;0;2000
NASTA_2021;3;8;0;2000
NASTA_2021;4;8;0;2000
NASTA_2021;5;8;0;2000
NASTA_2021;6;8;0;2000
NASTA_2021;7;8;1;2000
NASTA_2021;8;8;0;2000
NASTA_2021;9;8;0;2000
NASTA_2021;10;8;0;2000
NASTA_2021;11;8;0;2000
NASTA_2021;12;8;0;2000
NASTA_2021;13;8;0;2000
NASTA_2021;14;8;0;2000
NASTA_2021;15;8;0;2000
NASTA_2022;1;8;0;2000
NASTA_2022;2;8;0;2000
NASTA_2022;3;8;0;2000
NASTA_2022;4;8;0;2000
NASTA_2022;5;8;0;2000
NASTA_2022;6;8;0;2000
PLLM_2020;1;8;0;130
PLLM_2020;2;8;0;130
PLLM_2020;3;8;0;130
PLLM_2020;4;8;0;130
PLLM_2020;5;8;0;130
PLLM_2020;6;8;0;130
TASIU_2020;1;8;0;130
TASIU_2020;2;8;0;130
TASIU_2020;3;8;0;130
WIYA_2020;1;8;0;130
WIYA_2020;2;8;0;130
WIYA_2020;3;8;0;130
WIYA_2020;4;8;0;130
WIYA_2020;5;8;0;130
WIYA_2020;6;8;0;130
WIYA_2021;1;8;0;50
WIYA_2021;2;8;0;50
WIYA_2021;3;8;0;50
WIYA_2021;4;8;0;50
WIYA_2021;5;8;0;50
WIYA_2021;6;8;0;50
WIYA_2021;7;8;0;50
WIYA_2021;8;8;0;50
WIYA_2021;9;8;0;50
BIENVILLE_2023;1;5;0;2000
BIENVILLE_2023;2;5;0;2000
BIENVILLE_2023;3;5;0;2000
BIENVILLE_2023;4;5;0;2000
BIENVILLE_2023;5;5;0;2000
BIENVILLE_2023;6;5;0;2000
BIENVILLE_2023;7;5;0;2000
BIENVILLE_2023;8;5;0;2000
BIENVILLE_2023;9;5;0;2000
BIENVILLE_2023;10;5;0;2000
BIENVILLE_2023;11;5;0;2000
BIENVILLE_2023;12;5;0;2000
BIENVILLE_2023;13;5;0;2000
BIENVILLE_2023;14;5;0;2000
BIENVILLE_2023;15;5;0;2000
BIENVILLE_2023;16;5;0;2000
BIENVILLE_2023;17;5;0;2000
BIENVILLE_2023;18;5;0;2000
BIENVILLE_2023;19;5;0;2000
BIENVILLE_2023;20;5;0;2000
BIENVILLE_2023;21;5;0;2000
BIENVILLE_2023;22;5;0;2000
BIENVILLE_2023;23;5;0;2000
BIENVILLE_2023;24;5;0;2000
BIENVILLE_2023;25;5;0;2000
BIENVILLE_2023;26;5;0;2000
BIENVILLE_2023;27;5;0;2000
BIENVILLE_2023;28;5;0;2000
BIENVILLE_2023;29;5;0;2000
BIENVILLE_2023;30;5;0;2000
BIENVILLE_2023;31;5;0;2000
BIENVILLE_2023;32;5;0;2000
BIENVILLE_2023;33;5;0;2000
LLM_2023;1;5;0;2000
LLM_2023;2;5;0;2000
LLM_2023;3;5;0;2000
LLM_2023;4;5;0;2000
LLM_2023;5;5;0;2000
LLM_2023;6;5;0;2000
LLM_2023;7;5;0;2000
LLM_2023;8;5;0;2000
LLM_2023;9;5;0;2000
LLM_2023;10;5;0;2000
LLM_2023;11;5;0;2000
LLM_2023;12;5;0;2000
NASTA_2023;1;5;1;2000
NASTA_2023;2;5;1;2000
NASTA_2023;3;5;1;2000
NASTA_2023;4;5;0;2000
NASTA_2023;5;5;0;2000
NASTA_2023;6;5;0;2000
NASTA_2023;7;5;0;2000
NASTA_2023;8;5;0;2000
NASTA_2023;9;5;0;2000
PLLM_2023;1;5;0;2000
PLLM_2023;2;5;0;2000
PLLM_2023;3;5;0;2000
PLLM_2023;4;5;0;2000
PLLM_2023;5;5;0;2000
PLLM_2023;6;5;0;2000
PLLM_2023;7;5;0;2000
PLLM_2023;8;5;0;2000
PLLM_2023;9;5;0;2000
PLLM_2023;10;5;0;2000
PLLM_2023;11;5;0;2000
PLLM_2023;12;5;0;2000
PLLM_2023;13;5;0;2000
PLLM_2023;14;5;0;2000
PLLM_2023;15;5;0;2000
PLLM_2023;16;5;0;2000
PLLM_2023;17;5;0;2000
PLLM_2023;18;5;0;2000
BOURDEL_2023;1;5;0;2000
BOURDEL_2023;2;5;0;2000
BOURDEL_2023;3;5;0;2000
